
--- New Detection Session ---
[2026-01-18 19:31:46] Object: cow | Confidence: 89.33%
[2026-01-18 19:31:46] Object: dog | Confidence: 83.06%
[2026-01-18 19:31:46] Object: car | Confidence: 79.19%
[2026-01-18 19:31:46] Object: cow | Confidence: 74.03%
[2026-01-18 19:31:46] Object: dog | Confidence: 72.16%
[2026-01-18 19:31:46] Object: person | Confidence: 67.58%
[2026-01-18 19:31:46] Object: car | Confidence: 64.14%
[2026-01-18 19:31:46] Object: car | Confidence: 51.62%
Total Objects Detected: 8
Animals Detected: 4
[2026-01-18 19:38:15] Webcam | Object: person | Confidence: 90.49%
[2026-01-18 19:38:15] Webcam | Object: person | Confidence: 88.04%
[2026-01-18 19:38:15] Webcam | Object: person | Confidence: 90.64%
[2026-01-18 19:38:15] Webcam | Object: person | Confidence: 90.68%
[2026-01-18 19:38:15] Webcam | Object: person | Confidence: 90.28%
[2026-01-18 19:38:15] Webcam | Object: person | Confidence: 90.14%
[2026-01-18 19:38:15] Webcam | Object: person | Confidence: 89.67%
[2026-01-18 19:38:15] Webcam | Object: person | Confidence: 89.66%
[2026-01-18 19:38:16] Webcam | Object: person | Confidence: 90.41%
[2026-01-18 19:38:16] Webcam | Object: person | Confidence: 89.79%
[2026-01-18 19:38:16] Webcam | Object: person | Confidence: 90.78%
[2026-01-18 19:38:16] Webcam | Object: person | Confidence: 89.72%
[2026-01-18 19:38:16] Webcam | Object: person | Confidence: 89.72%
[2026-01-18 19:38:16] Webcam | Object: person | Confidence: 89.71%
[2026-01-18 19:38:16] Webcam | Object: person | Confidence: 90.87%
[2026-01-18 19:38:17] Webcam | Object: person | Confidence: 90.75%
[2026-01-18 19:38:17] Webcam | Object: person | Confidence: 90.44%
[2026-01-18 19:38:17] Webcam | Object: person | Confidence: 89.19%
[2026-01-18 19:38:17] Webcam | Object: person | Confidence: 88.70%
[2026-01-18 19:38:17] Webcam | Object: person | Confidence: 90.27%
[2026-01-18 19:38:17] Webcam | Object: person | Confidence: 90.21%
[2026-01-18 19:38:17] Webcam | Object: person | Confidence: 91.40%
[2026-01-18 19:38:17] Webcam | Object: person | Confidence: 91.85%
[2026-01-18 19:38:18] Webcam | Object: person | Confidence: 91.07%
[2026-01-18 19:38:18] Webcam | Object: person | Confidence: 91.14%
[2026-01-18 19:38:18] Webcam | Object: person | Confidence: 91.68%
[2026-01-18 19:38:18] Webcam | Object: person | Confidence: 91.23%
[2026-01-18 19:38:18] Webcam | Object: person | Confidence: 90.58%
[2026-01-18 19:38:18] Webcam | Object: person | Confidence: 91.56%
[2026-01-18 19:38:18] Webcam | Object: person | Confidence: 91.56%
[2026-01-18 19:38:18] Webcam | Object: person | Confidence: 90.68%
[2026-01-18 19:38:19] Webcam | Object: person | Confidence: 90.54%
[2026-01-18 19:38:19] Webcam | Object: person | Confidence: 91.36%
[2026-01-18 19:38:19] Webcam | Object: person | Confidence: 90.96%
[2026-01-18 19:38:19] Webcam | Object: person | Confidence: 91.23%
[2026-01-18 19:38:19] Webcam | Object: person | Confidence: 89.29%
[2026-01-18 19:38:19] Webcam | Object: person | Confidence: 91.06%
[2026-01-18 19:38:19] Webcam | Object: person | Confidence: 88.82%
[2026-01-18 19:38:19] Webcam | Object: person | Confidence: 89.95%
[2026-01-18 19:38:20] Webcam | Object: person | Confidence: 91.16%
[2026-01-18 19:38:20] Webcam | Object: person | Confidence: 91.17%
[2026-01-18 19:38:20] Webcam | Object: person | Confidence: 91.03%
[2026-01-18 19:38:20] Webcam | Object: person | Confidence: 90.33%
[2026-01-18 19:38:20] Webcam | Object: person | Confidence: 90.46%
[2026-01-18 19:38:20] Webcam | Object: person | Confidence: 91.52%
[2026-01-18 19:38:20] Webcam | Object: person | Confidence: 89.93%
[2026-01-18 19:38:20] Webcam | Object: person | Confidence: 89.26%
[2026-01-18 19:38:21] Webcam | Object: person | Confidence: 90.39%
[2026-01-18 19:38:21] Webcam | Object: person | Confidence: 90.39%
[2026-01-18 19:38:21] Webcam | Object: person | Confidence: 90.93%
[2026-01-18 19:38:21] Webcam | Object: person | Confidence: 91.02%
[2026-01-18 19:38:21] Webcam | Object: person | Confidence: 90.90%
[2026-01-18 19:38:21] Webcam | Object: person | Confidence: 89.17%
[2026-01-18 19:38:21] Webcam | Object: person | Confidence: 90.13%
[2026-01-18 19:38:21] Webcam | Object: person | Confidence: 90.56%
[2026-01-18 19:38:22] Webcam | Object: person | Confidence: 90.07%
[2026-01-18 19:38:22] Webcam | Object: person | Confidence: 89.98%
[2026-01-18 19:38:22] Webcam | Object: person | Confidence: 90.83%
[2026-01-18 19:38:22] Webcam | Object: person | Confidence: 91.15%
[2026-01-18 19:38:22] Webcam | Object: person | Confidence: 91.76%
[2026-01-18 19:38:22] Webcam | Object: person | Confidence: 91.78%
[2026-01-18 19:38:22] Webcam | Object: person | Confidence: 92.32%
[2026-01-18 19:38:22] Webcam | Object: person | Confidence: 91.59%
[2026-01-18 19:38:23] Webcam | Object: person | Confidence: 91.59%
[2026-01-18 19:38:23] Webcam | Object: person | Confidence: 92.05%
[2026-01-18 19:38:23] Webcam | Object: person | Confidence: 90.99%
[2026-01-18 19:38:23] Webcam | Object: person | Confidence: 90.43%
[2026-01-18 19:38:23] Webcam | Object: person | Confidence: 89.95%
[2026-01-18 19:38:23] Webcam | Object: person | Confidence: 91.60%
[2026-01-18 19:38:23] Webcam | Object: person | Confidence: 90.01%
[2026-01-18 19:38:23] Webcam | Object: person | Confidence: 91.90%
[2026-01-18 19:38:24] Webcam | Object: person | Confidence: 91.39%
[2026-01-18 19:38:24] Webcam | Object: person | Confidence: 91.70%
[2026-01-18 19:38:24] Webcam | Object: person | Confidence: 91.17%
[2026-01-18 19:38:24] Webcam | Object: person | Confidence: 91.09%
[2026-01-18 19:38:24] Webcam | Object: person | Confidence: 91.00%
[2026-01-18 19:38:24] Webcam | Object: person | Confidence: 90.90%
[2026-01-18 19:38:24] Webcam | Object: person | Confidence: 90.90%
[2026-01-18 19:38:24] Webcam | Object: person | Confidence: 90.62%
[2026-01-18 19:38:25] Webcam | Object: person | Confidence: 90.94%
[2026-01-18 19:38:25] Webcam | Object: person | Confidence: 89.78%
[2026-01-18 19:38:25] Webcam | Object: person | Confidence: 89.78%
[2026-01-18 19:38:25] Webcam | Object: person | Confidence: 91.45%
[2026-01-18 19:38:25] Webcam | Object: person | Confidence: 92.20%
[2026-01-18 19:38:25] Webcam | Object: person | Confidence: 90.98%
[2026-01-18 19:38:25] Webcam | Object: person | Confidence: 88.78%
[2026-01-18 19:38:25] Webcam | Object: person | Confidence: 86.39%
[2026-01-18 19:38:26] Webcam | Object: person | Confidence: 90.13%
[2026-01-18 19:38:26] Webcam | Object: person | Confidence: 88.44%
[2026-01-18 19:38:26] Webcam | Object: person | Confidence: 90.65%
[2026-01-18 19:38:26] Webcam | Object: person | Confidence: 90.63%
[2026-01-18 19:38:26] Webcam | Object: person | Confidence: 91.53%
[2026-01-18 19:38:26] Webcam | Object: person | Confidence: 89.39%
[2026-01-18 19:38:26] Webcam | Object: person | Confidence: 91.65%
[2026-01-18 19:38:26] Webcam | Object: person | Confidence: 91.01%
[2026-01-18 19:38:27] Webcam | Object: person | Confidence: 89.77%
[2026-01-18 19:38:27] Webcam | Object: person | Confidence: 90.72%
[2026-01-18 19:38:27] Webcam | Object: person | Confidence: 90.72%
[2026-01-18 19:38:27] Webcam | Object: person | Confidence: 90.30%
[2026-01-18 19:38:27] Webcam | Object: person | Confidence: 90.28%
[2026-01-18 19:38:27] Webcam | Object: person | Confidence: 90.27%
[2026-01-18 19:38:27] Webcam | Object: person | Confidence: 90.04%
[2026-01-18 19:38:27] Webcam | Object: person | Confidence: 90.23%
[2026-01-18 19:38:28] Webcam | Object: person | Confidence: 90.17%
[2026-01-18 19:38:28] Webcam | Object: person | Confidence: 89.90%
[2026-01-18 19:38:28] Webcam | Object: person | Confidence: 88.41%
[2026-01-18 19:38:28] Webcam | Object: person | Confidence: 89.41%
[2026-01-18 19:38:28] Webcam | Object: person | Confidence: 90.07%
[2026-01-18 19:38:28] Webcam | Object: person | Confidence: 91.44%
[2026-01-18 19:38:28] Webcam | Object: person | Confidence: 90.14%
[2026-01-18 19:38:28] Webcam | Object: person | Confidence: 91.09%
[2026-01-18 19:38:29] Webcam | Object: person | Confidence: 91.30%
[2026-01-18 19:38:29] Webcam | Object: person | Confidence: 91.98%
[2026-01-18 19:38:29] Webcam | Object: person | Confidence: 90.51%
[2026-01-18 19:38:29] Webcam | Object: person | Confidence: 90.49%
[2026-01-18 19:38:29] Webcam | Object: person | Confidence: 87.79%
[2026-01-18 19:38:29] Webcam | Object: person | Confidence: 90.15%
[2026-01-18 19:38:29] Webcam | Object: person | Confidence: 91.51%
[2026-01-18 19:38:29] Webcam | Object: person | Confidence: 90.73%
[2026-01-18 19:38:30] Webcam | Object: person | Confidence: 90.73%
[2026-01-18 19:38:30] Webcam | Object: person | Confidence: 90.18%
[2026-01-18 19:38:30] Webcam | Object: person | Confidence: 90.85%
[2026-01-18 19:38:30] Webcam | Object: person | Confidence: 91.37%
[2026-01-18 19:38:30] Webcam | Object: person | Confidence: 90.78%
[2026-01-18 19:38:30] Webcam | Object: person | Confidence: 90.03%
[2026-01-18 19:38:30] Webcam | Object: person | Confidence: 89.86%
[2026-01-18 19:38:30] Webcam | Object: person | Confidence: 89.92%
[2026-01-18 19:38:31] Webcam | Object: person | Confidence: 89.82%
[2026-01-18 19:38:31] Webcam | Object: person | Confidence: 90.16%
[2026-01-18 19:38:31] Webcam | Object: person | Confidence: 89.72%
[2026-01-18 19:38:31] Webcam | Object: person | Confidence: 89.14%
